gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4097117885	34520196-b1d6-4e5d-a20d-448e0a872a60	BR:UEL:MZUEL_Ictiologia:16975	Animalia	Chordata		Perciformes	Cichlidae	Crenicichla	Crenicichla tesay		SPECIES	Crenicichla tesay Casciotta & Almirón, 2009	Crenicichla  tesay		BR	Rio Iguaçu	Paraná	PRESENT		b081673d-44bb-437a-8e69-750950afa49c	-25.652911	-54.454167							2012-02-08	8	2	2012	2371003	2371003	PRESERVED_SPECIMEN	UEL	MZUEL_Ictiologia	MZUEL_Ictiologia_16975		Oscar Akio Shibatta		CC_BY_NC_4_0	Universidade Estadual de Londrina	Dhonatan dos Santos			2025-05-28T18:10:38.337Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4097117176	34520196-b1d6-4e5d-a20d-448e0a872a60	BR:UEL:MZUEL_Ictiologia:18970	Animalia	Chordata		Perciformes	Cichlidae	Crenicichla	Crenicichla iguassuensis		SPECIES	Crenicichla iguassuensis Haseman, 1911	Crenicichla  iguassuensis		BR	rio Sarandi, afluente do rio Iguaçu	Paraná	PRESENT		b081673d-44bb-437a-8e69-750950afa49c	-25.586317	-53.502067							2016-10-21	21	10	2016	2370942	2370942	PRESERVED_SPECIMEN	UEL	MZUEL_Ictiologia	MZUEL_Ictiologia_18970		Oscar A. Shibatta		CC_BY_NC_4_0	Universidade Estadual de Londrina	Dhonatan dos Santos			2025-05-28T18:10:38.093Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_SWAPPED_COORDINATE;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4097117167	34520196-b1d6-4e5d-a20d-448e0a872a60	BR:UEL:MZUEL_Ictiologia:18974	Animalia	Chordata		Perciformes	Cichlidae	Crenicichla	Crenicichla iguassuensis		SPECIES	Crenicichla iguassuensis Haseman, 1911	Crenicichla  iguassuensis		BR	rio Cotejipe, afluente do rio Iguaçu	Paraná	PRESENT		b081673d-44bb-437a-8e69-750950afa49c	-25.588067	-53.49905							2016-10-21	21	10	2016	2370942	2370942	PRESERVED_SPECIMEN	UEL	MZUEL_Ictiologia	MZUEL_Ictiologia_18974		Oscar A. Shibatta		CC_BY_NC_4_0	Universidade Estadual de Londrina	Dhonatan dos Santos			2025-05-28T18:10:38.094Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_SWAPPED_COORDINATE;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4097117122	34520196-b1d6-4e5d-a20d-448e0a872a60	BR:UEL:MZUEL_Ictiologia:18988	Animalia	Chordata		Perciformes	Cichlidae	Crenicichla	Crenicichla iguassuensis		SPECIES	Crenicichla iguassuensis Haseman, 1911	Crenicichla  iguassuensis		BR	Rio Silva Jardim, afluente do rio Iguaçu	Paraná	PRESENT		b081673d-44bb-437a-8e69-750950afa49c	-25.5809	-53.912133							2016-10-25	25	10	2016	2370942	2370942	PRESERVED_SPECIMEN	UEL	MZUEL_Ictiologia	MZUEL_Ictiologia_18988		Oscar A. Shibatta		CC_BY_NC_4_0	Universidade Estadual de Londrina	Dhonatan dos Santos			2025-05-28T18:10:38.079Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_SWAPPED_COORDINATE;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4097117091	34520196-b1d6-4e5d-a20d-448e0a872a60	BR:UEL:MZUEL_Ictiologia:18961	Animalia	Chordata		Perciformes	Cichlidae	Crenicichla	Crenicichla iguassuensis		SPECIES	Crenicichla iguassuensis Haseman, 1911	Crenicichla  iguassuensis		BR	rio Santo Antônio, afluente do rio Iguaçu	Paraná	PRESENT		b081673d-44bb-437a-8e69-750950afa49c	-25.673833	-53.854417							2016-10-20	20	10	2016	2370942	2370942	PRESERVED_SPECIMEN	UEL	MZUEL_Ictiologia	MZUEL_Ictiologia_18961		Oscar A. Shibatta		CC_BY_NC_4_0	Universidade Estadual de Londrina	Dhonatan dos Santos			2025-05-28T18:10:38.071Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_SWAPPED_COORDINATE;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4097117069	34520196-b1d6-4e5d-a20d-448e0a872a60	BR:UEL:MZUEL_Ictiologia:18966	Animalia	Chordata		Perciformes	Cichlidae	Crenicichla	Crenicichla iguassuensis		SPECIES	Crenicichla iguassuensis Haseman, 1911	Crenicichla  iguassuensis		BR	rio Capanema, afluente do rio Iguaçu	Paraná	PRESENT		b081673d-44bb-437a-8e69-750950afa49c	-25.602333	-53.61305							2016-10-20	20	10	2016	2370942	2370942	PRESERVED_SPECIMEN	UEL	MZUEL_Ictiologia	MZUEL_Ictiologia_18966		Oscar A. Shibatta		CC_BY_NC_4_0	Universidade Estadual de Londrina	Dhonatan dos Santos			2025-05-28T18:10:38.064Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_SWAPPED_COORDINATE;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4097116959	34520196-b1d6-4e5d-a20d-448e0a872a60	BR:UEL:MZUEL_Ictiologia:9869	Animalia	Chordata		Perciformes	Cichlidae	Crenicichla	Crenicichla jaguarensis		SPECIES	Crenicichla jaguarensis Haseman, 1911	Crenicichla   jaguarensis		BR	Rio Laranjinha, junto a barragem	Paraná	PRESENT		b081673d-44bb-437a-8e69-750950afa49c	-23.414917	-50.4523							2014-05-19	19	5	2014	2370980	2370980	PRESERVED_SPECIMEN	UEL	MZUEL_Ictiologia	MZUEL_Ictiologia_9869		F. Jerep & T. Lizarelli		CC_BY_NC_4_0	Universidade Estadual de Londrina	J. Tavares, F. Hiroshi, Robson, L.G. Caetano			2025-05-28T18:10:38.023Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4097116699	34520196-b1d6-4e5d-a20d-448e0a872a60	BR:UEL:MZUEL_Ictiologia:9972	Animalia	Chordata		Perciformes	Cichlidae	Crenicichla	Crenicichla britskii		SPECIES	Crenicichla britskii Kullander, 1982	Crenicichla  britskii		BR	Rio Laranjinha, próximo à Santa Amélia, tributario do Rio das Cinzas, Bacia do Paranapanema	Paraná	PRESENT		b081673d-44bb-437a-8e69-750950afa49c	-23.297194	-50.478667							2011-05-05	5	5	2011	2371008	2371008	PRESERVED_SPECIMEN	UEL	MZUEL_Ictiologia	MZUEL_Ictiologia_9972		William M Ohara		CC_BY_NC_4_0	Universidade Estadual de Londrina	Bruno A. Galindo et al.			2025-05-28T18:10:37.904Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4097116685	34520196-b1d6-4e5d-a20d-448e0a872a60	BR:UEL:MZUEL_Ictiologia:9991	Animalia	Chordata		Perciformes	Cichlidae	Crenicichla	Crenicichla jaguarensis		SPECIES	Crenicichla jaguarensis Haseman, 1911	Crenicichla   jaguarensis		BR	Rio Laranjinha, próximo à Foz, tributario do Rio das Cinzas, Bacia do Paranapanema	Paraná	PRESENT		b081673d-44bb-437a-8e69-750950afa49c	-23.031639	-50.44775							2010-12-13	13	12	2010	2370980	2370980	PRESERVED_SPECIMEN	UEL	MZUEL_Ictiologia	MZUEL_Ictiologia_9991		William M Ohara		CC_BY_NC_4_0	Universidade Estadual de Londrina	Bruno A. Galindo et al.			2025-05-28T18:10:37.899Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4097116683	34520196-b1d6-4e5d-a20d-448e0a872a60	BR:UEL:MZUEL_Ictiologia:9987	Animalia	Chordata		Perciformes	Cichlidae	Crenicichla	Crenicichla jupiaensis		SPECIES	Crenicichla jupiaensis Britski & Luengo, 1968	Crenicichla  jupiaensis		BR	Rio Laranjinha, próximo à Foz, tributario do Rio das Cinzas, Bacia do Paranapanema	Paraná	PRESENT		b081673d-44bb-437a-8e69-750950afa49c	-23.031639	-50.44775							2012-02-11	11	2	2012	2370917	2370917	PRESERVED_SPECIMEN	UEL	MZUEL_Ictiologia	MZUEL_Ictiologia_9987		Oscar Akio Shibatta		CC_BY_NC_4_0	Universidade Estadual de Londrina	Bruno A. Galindo et al.			2025-05-28T18:10:37.900Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4097116596	34520196-b1d6-4e5d-a20d-448e0a872a60	BR:UEL:MZUEL_Ictiologia:9926	Animalia	Chordata		Perciformes	Cichlidae	Crenicichla			GENUS	Crenicichla Heckel, 1840	Crenicichla		BR	Ribeirão Tenente - Médio	Paraná	PRESENT		b081673d-44bb-437a-8e69-750950afa49c	-22.786389	-51.4875							2012-08-21	21	8	2012	2370916		PRESERVED_SPECIMEN	UEL	MZUEL_Ictiologia	MZUEL_Ictiologia_9926		Mario Luis Orsi		CC_BY_NC_4_0	Universidade Estadual de Londrina	ECPUEL			2025-05-28T18:10:37.873Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4097116196	34520196-b1d6-4e5d-a20d-448e0a872a60	BR:UEL:MZUEL_Ictiologia:14081	Animalia	Chordata		Perciformes	Cichlidae	Crenicichla	Crenicichla yaha		SPECIES	Crenicichla yaha Casciotta, Almirón & Gómez, 2006	Crenicichla  yaha		BR	Rio Cotejipe, afluente do rio Iguaçu	Paraná	PRESENT		b081673d-44bb-437a-8e69-750950afa49c	-25.588067	-53.49905							2014-02-20	20	2	2014	2370947	2370947	PRESERVED_SPECIMEN	UEL	MZUEL_Ictiologia	MZUEL_Ictiologia_14081		Oscar Akio Shibatta		CC_BY_NC_4_0	Universidade Estadual de Londrina	Fabio Paetzholdt			2025-05-28T18:10:37.786Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_SWAPPED_COORDINATE;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4097116181	34520196-b1d6-4e5d-a20d-448e0a872a60	BR:UEL:MZUEL_Ictiologia:14090	Animalia	Chordata		Perciformes	Cichlidae	Crenicichla	Crenicichla iguassuensis		SPECIES	Crenicichla iguassuensis Haseman, 1911	Crenicichla  iguassuensis		BR	Rio Andrada, afluente do rio Iguaçu	Paraná	PRESENT		b081673d-44bb-437a-8e69-750950afa49c	-25.46005	-53.531025							2015-01-23	23	1	2015	2370942	2370942	PRESERVED_SPECIMEN	UEL	MZUEL_Ictiologia	MZUEL_Ictiologia_14090		Oscar Akio Shibatta		CC_BY_NC_4_0	Universidade Estadual de Londrina	Dhonatan dos Santos			2025-05-28T18:10:37.764Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_SWAPPED_COORDINATE;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4097116077	34520196-b1d6-4e5d-a20d-448e0a872a60	BR:UEL:MZUEL_Ictiologia:14012	Animalia	Chordata		Perciformes	Cichlidae	Crenicichla	Crenicichla iguassuensis		SPECIES	Crenicichla iguassuensis Haseman, 1911	Crenicichla  iguassuensis		BR	Rio Iguaçu	Paraná	PRESENT		b081673d-44bb-437a-8e69-750950afa49c	-25.541717	-53.51055							2014-11-18	18	11	2014	2370942	2370942	PRESERVED_SPECIMEN	UEL	MZUEL_Ictiologia	MZUEL_Ictiologia_14012		Oscar Akio Shibatta		CC_BY_NC_4_0	Universidade Estadual de Londrina	Fabio Paetzholdt			2025-05-28T18:10:37.736Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_SWAPPED_COORDINATE;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4097115925	34520196-b1d6-4e5d-a20d-448e0a872a60	BR:UEL:MZUEL_Ictiologia:9775	Animalia	Chordata		Perciformes	Cichlidae	Crenicichla	Crenicichla jaguarensis		SPECIES	Crenicichla jaguarensis Haseman, 1911	Crenicichla  jaguarensis		BR	Rio Laranjinha	Paraná	PRESENT		b081673d-44bb-437a-8e69-750950afa49c	-23.41475	-50.452778							2014-06-04	4	6	2014	2370980	2370980	PRESERVED_SPECIMEN	UEL	MZUEL_Ictiologia	MZUEL_Ictiologia_9775		Fernando C Jerep		CC_BY_NC_4_0	Universidade Estadual de Londrina	José Tavares, Fernando Jerep, Fábio Hiroshi, Poliana Sidol			2025-05-28T18:10:37.682Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4097115174	34520196-b1d6-4e5d-a20d-448e0a872a60	BR:UEL:MZUEL_Ictiologia:24553	Animalia	Chordata		Perciformes	Cichlidae	Crenicichla	Crenicichla haroldoi		SPECIES	Crenicichla haroldoi Luengo & Britski, 1974	Crenicichla  haroldoi		BR	Rio Gamelão, tributário do Taquara.	Paraná	PRESENT		b081673d-44bb-437a-8e69-750950afa49c	-23.651797	-51.096197							2020-03-13	13	3	2020	2370933	2370933	PRESERVED_SPECIMEN	UEL	MZUEL_Ictiologia	MZUEL_Ictiologia_24553		Giovane S Bennemann		CC_BY_NC_4_0	Universidade Estadual de Londrina	Ito, Gouveia, Santana, Birindelli			2025-05-28T18:10:37.479Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
