"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family.x","genus","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","scientific_name","species_gbif","status_ref","valid_as_ref","valid_as_ref_habitat","family_ref","genus_ref","status_fb","family_fb","genus_fb","valid_as_fb"
1705738977,"4c0c4e7f-6a80-4632-9a9d-7a5fc9501c5d","BR:UEL:MZUEL-Peixes:11132","Animalia","Chordata",NA,"Perciformes","Cichlidae","Crenicichla",NA,"SPECIES","Crenicichla lacustris (Castelnau, 1855)","Crenicichla lacustris","(Castelnau, 1855)","BR","Rio Capivari","Paraná","PRESENT",NA,"b081673d-44bb-437a-8e69-750950afa49c",-25.196194,-48.509556,NA,NA,NA,NA,NA,NA,"2013-04-05",5,4,2013,2370975,2370975,"PRESERVED_SPECIMEN","UEL","MZUEL-Peixes","10638","OAS2013040503",NA,NA,"CC_BY_NC_4_0",NA,NA,NA,NA,2025-01-31 20:21:03.77,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY","Crenicichla lacustris (Castelnau 1855)","Crenicichla lacustris","Valid","Crenicichla lacustris (Castelnau 1855)","freshwater, brackish","Cichlidae","Crenicichla","Valid","Cichlidae","Crenicichla","Crenicichla lacustris"
1705738971,"4c0c4e7f-6a80-4632-9a9d-7a5fc9501c5d","BR:UEL:MZUEL-Peixes:11129","Animalia","Chordata",NA,"Perciformes","Cichlidae","Crenicichla",NA,"SPECIES","Crenicichla lacustris (Castelnau, 1855)","Crenicichla lacustris","(Castelnau, 1855)","BR","Rio das Antas/Brumado","Paraná","PRESENT",NA,"b081673d-44bb-437a-8e69-750950afa49c",-25.226444,-48.56775,NA,NA,NA,NA,NA,NA,"2013-04-05",5,4,2013,2370975,2370975,"PRESERVED_SPECIMEN","UEL","MZUEL-Peixes","10636","OAS2013040502",NA,NA,"CC_BY_NC_4_0",NA,NA,NA,NA,2025-01-31 20:21:03.774,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY","Crenicichla lacustris (Castelnau 1855)","Crenicichla lacustris","Valid","Crenicichla lacustris (Castelnau 1855)","freshwater, brackish","Cichlidae","Crenicichla","Valid","Cichlidae","Crenicichla","Crenicichla lacustris"
1705738965,"4c0c4e7f-6a80-4632-9a9d-7a5fc9501c5d","BR:UEL:MZUEL-Peixes:11145","Animalia","Chordata",NA,"Perciformes","Cichlidae","Crenicichla",NA,"SPECIES","Crenicichla lacustris (Castelnau, 1855)","Crenicichla lacustris","(Castelnau, 1855)","BR","Rio Utinga","Paraná","PRESENT",NA,"b081673d-44bb-437a-8e69-750950afa49c",-25.201694,-48.253639,NA,NA,NA,NA,NA,NA,"2013-04-06",6,4,2013,2370975,2370975,"PRESERVED_SPECIMEN","UEL","MZUEL-Peixes","10649","OAS2013040603",NA,NA,"CC_BY_NC_4_0",NA,NA,NA,NA,2025-01-31 20:21:03.8,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY","Crenicichla lacustris (Castelnau 1855)","Crenicichla lacustris","Valid","Crenicichla lacustris (Castelnau 1855)","freshwater, brackish","Cichlidae","Crenicichla","Valid","Cichlidae","Crenicichla","Crenicichla lacustris"
1705738935,"4c0c4e7f-6a80-4632-9a9d-7a5fc9501c5d","BR:UEL:MZUEL-Peixes:11119","Animalia","Chordata",NA,"Perciformes","Cichlidae","Crenicichla",NA,"SPECIES","Crenicichla lacustris (Castelnau, 1855)","Crenicichla lacustris","(Castelnau, 1855)","BR","Rio Cubatão","Paraná","PRESENT",NA,"b081673d-44bb-437a-8e69-750950afa49c",-25.829722,-48.791083,NA,NA,NA,NA,NA,NA,"2013-04-03",3,4,2013,2370975,2370975,"PRESERVED_SPECIMEN","UEL","MZUEL-Peixes","10626","OAS2013040303",NA,NA,"CC_BY_NC_4_0",NA,NA,NA,NA,2025-01-31 20:21:03.777,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY","Crenicichla lacustris (Castelnau 1855)","Crenicichla lacustris","Valid","Crenicichla lacustris (Castelnau 1855)","freshwater, brackish","Cichlidae","Crenicichla","Valid","Cichlidae","Crenicichla","Crenicichla lacustris"
1705738746,"4c0c4e7f-6a80-4632-9a9d-7a5fc9501c5d","BR:UEL:MZUEL-Peixes:10886","Animalia","Chordata",NA,"Perciformes","Cichlidae","Crenicichla",NA,"SPECIES","Crenicichla niederleinii (Holmberg, 1891)","Crenicichla niederleinii","(Holmberg, 1891)","BR","Riacho sem nome, bacia do rio Tibagi com rio Paranapanema","Paraná","PRESENT",NA,"b081673d-44bb-437a-8e69-750950afa49c",-23.021583,-51.132833,NA,NA,NA,NA,NA,NA,"2014-02-21",21,2,2014,2371014,2371014,"PRESERVED_SPECIMEN","UEL","MZUEL-Peixes","10404","ACH2014022103",NA,NA,"CC_BY_NC_4_0",NA,NA,NA,NA,2025-01-31 20:21:04.287,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY","Crenicichla niederleinii (Holmberg 1891)","Crenicichla niederleinii","Uncertain","Crenicichla niederleinii (Holmberg 1891) (Uncertain status)","Not found","Cichlidae","Crenicichla","Valid","Cichlidae","Crenicichla","Crenicichla niederleinii"
1705738186,"4c0c4e7f-6a80-4632-9a9d-7a5fc9501c5d","BR:UEL:MZUEL-Peixes:10369","Animalia","Chordata",NA,"Perciformes","Cichlidae","Crenicichla",NA,"SPECIES","Crenicichla haroldoi Luengo & Britski, 1974","Crenicichla haroldoi","Luengo & Britski, 1974","BR","Ribeirão Saltinho, Bacia do rio Tibagi","Paraná","PRESENT",NA,"b081673d-44bb-437a-8e69-750950afa49c",-23.363806,-50.9875,NA,NA,NA,NA,NA,NA,"2014-05-06",6,5,2014,2370933,2370933,"PRESERVED_SPECIMEN","UEL","MZUEL-Peixes","09968","ACG2014050603",NA,NA,"CC_BY_NC_4_0",NA,NA,NA,NA,2025-01-31 20:21:04.704,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY","Crenicichla haroldoi Luengo & Britski 1974","Crenicichla haroldoi","Valid","Crenicichla haroldoi Luengo & Britski 1974","freshwater","Cichlidae","Crenicichla","Valid","Cichlidae","Crenicichla","Crenicichla haroldoi"
1705737707,"4c0c4e7f-6a80-4632-9a9d-7a5fc9501c5d","BR:UEL:MZUEL-Peixes:9848","Animalia","Chordata",NA,"Perciformes","Cichlidae","Crenicichla",NA,"SPECIES","Crenicichla jupiaensis Britski & Luengo, 1968","Crenicichla jupiaensis","Britski & Luengo, 1968","BR","Rio Laranjinha, próximo à Foz, tributario do Rio das Cinzas, Bacia do Paranapanema","Paraná","PRESENT",NA,"b081673d-44bb-437a-8e69-750950afa49c",-23.031639,-50.44775,NA,NA,NA,NA,NA,NA,"2012-02-11",11,2,2012,2370917,2370917,"PRESERVED_SPECIMEN","UEL","MZUEL-Peixes","09468","BAG2012021101",NA,NA,"CC_BY_NC_4_0",NA,NA,NA,NA,2025-01-31 20:21:02.766,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY","Crenicichla jupiaensis Britski & Luengo 1968","Crenicichla jupiaensis","Valid","Crenicichla jupiaensis Britski & Luengo 1968","freshwater","Cichlidae","Crenicichla","Valid","Cichlidae","Crenicichla","Crenicichla jupiaensis"
1705737700,"4c0c4e7f-6a80-4632-9a9d-7a5fc9501c5d","BR:UEL:MZUEL-Peixes:9852","Animalia","Chordata",NA,"Perciformes","Cichlidae","Crenicichla",NA,"SPECIES","Crenicichla jaguarensis Haseman, 1911","Crenicichla  jaguarensis",NA,"BR","Rio Laranjinha, próximo à Foz, tributario do Rio das Cinzas, Bacia do Paranapanema","Paraná","PRESENT",NA,"b081673d-44bb-437a-8e69-750950afa49c",-23.031639,-50.44775,NA,NA,NA,NA,NA,NA,"2010-12-13",13,12,2010,2370980,2370980,"PRESERVED_SPECIMEN","UEL","MZUEL-Peixes","09472","BAG2010121301",NA,NA,"CC_BY_NC_4_0",NA,NA,NA,NA,2025-01-31 20:21:02.754,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY","Crenicichla jaguarensis Haseman 1911","Crenicichla jaguarensis","Valid","Crenicichla jaguarensis Haseman 1911","freshwater","Cichlidae","Crenicichla","Valid","Cichlidae","Crenicichla","Crenicichla jaguarensis"
1705737648,"4c0c4e7f-6a80-4632-9a9d-7a5fc9501c5d","BR:UEL:MZUEL-Peixes:9833","Animalia","Chordata",NA,"Perciformes","Cichlidae","Crenicichla",NA,"SPECIES","Crenicichla britskii Kullander, 1982","Crenicichla britskii","Kullander, 1982","BR","Rio Laranjinha, próximo à Santa Amélia, tributario do Rio das Cinzas, Bacia do Paranapanema","Paraná","PRESENT",NA,"b081673d-44bb-437a-8e69-750950afa49c",-23.297194,-50.478667,NA,NA,NA,NA,NA,NA,"2011-05-05",5,5,2011,2371008,2371008,"PRESERVED_SPECIMEN","UEL","MZUEL-Peixes","09453","BAG2011050501",NA,NA,"CC_BY_NC_4_0",NA,NA,NA,NA,2025-01-31 20:21:02.782,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY","Crenicichla britskii Kullander 1982","Crenicichla britskii","Synonym","Saxatilia britskii (Kullander 1982)","freshwater","Cichlidae","Saxatilia","Valid","Cichlidae","Crenicichla","Crenicichla britskii"
1705737572,"4c0c4e7f-6a80-4632-9a9d-7a5fc9501c5d","BR:UEL:MZUEL-Peixes:9732","Animalia","Chordata",NA,"Perciformes","Cichlidae","Crenicichla",NA,"SPECIES","Crenicichla jaguarensis Haseman, 1911","Crenicichla  jaguarensis",NA,"BR","Rio Laranjinha, junto a barragem","Paraná","PRESENT",NA,"b081673d-44bb-437a-8e69-750950afa49c",-23.414917,-50.4523,NA,NA,NA,NA,NA,NA,"2014-05-19",19,5,2014,2370980,2370980,"PRESERVED_SPECIMEN","UEL","MZUEL-Peixes","09352","LGC20140519",NA,NA,"CC_BY_NC_4_0",NA,NA,NA,NA,2025-01-31 20:21:02.877,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY","Crenicichla jaguarensis Haseman 1911","Crenicichla jaguarensis","Valid","Crenicichla jaguarensis Haseman 1911","freshwater","Cichlidae","Crenicichla","Valid","Cichlidae","Crenicichla","Crenicichla jaguarensis"
